,PREDDEG_factor,Control_factor,NPT4_COMBINE,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN,MD_FAMINC,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,APPL_SCH_PCT_GE2,MD_EARN_WNE_P6,MD_EARN_WNE_P10,RPY_3YR_RT_SUPP,CDR3
150853,Certificate-degree,Private For-profit,12450,0.694300518,0.634146342,15234.75746,0.44,0.484,15853.5,4750,0.430051814,13800,14600,0.166666667,0.145
364973,Associate's-degree,Private For-profit,16419,0.667321429,0.462168142,17900.88767,0.4899,0.6606,11250,5524,0.329464286,26100,29600,0.263402062,0.289
220631,Bachelor's-degree,Private Nonprofit,11297,0.457781457,0.465765766,31661.41405,0.5164,0.8207,17634,8250,0.595198676,31200,36800,0.558350101,0.083
146427,Bachelor's-degree,Private Nonprofit,20518,0.027124774,0.226305609,66943.36774,0.2746,0.6282,26305,11969,0.837251356,27600,41700,0.789598109,0.061
456995,Associate's-degree,Private For-profit,17758,0.734883721,0.388609715,22040.181,0.7342,0.8671,17567,5500,0.333333333,23700,22800,0.434659091,0.2
456959,Bachelor's-degree,Public,17991,0.153620942,0.196350433,72756.40162,0.315,0.6777,20481,8751,0.54275381,38900,48300,0.755287344,0.038
137591,Certificate-degree,Private For-profit,16676,0.702020202,0.538216561,11174.43078,0.6293,0.6721,7666,3482,0.275252525,14400,17800,0.176079734,0.211
441201,Associate's-degree,Private For-profit,21221,0.733513514,0.610119563,15222.72527,0.8224,0.8289,17264,4750,0.41972973,21100,26700,0.333063864,0.187
204662,Associate's-degree,Public,20028,0.153213677,0.303862163,62975.76214,0.4084,0.5706,20832,6500,0.611952271,34400,42900,0.662226584,0.071
217305,Associate's-degree,Private Nonprofit,28494,0.450682261,0.411444142,33166.24959,0.4879,0.783,20000,6084,0.301754386,31300,38500,0.464846416,0.038
217633,Bachelor's-degree,Private Nonprofit,17586,0.288288288,0.316706255,55294.47393,0.3877,0.6967,25250,8750,0.532282282,28500,33600,0.605932203,0.09
159993,Bachelor's-degree,Public,8568,0.234012147,0.417197452,30447.77582,0.3907,0.4299,18256,6281,0.501250447,28900,36600,0.49317595,0.146
409120,Certificate-degree,Public,26753,0.8125,0.549586777,16987.29791,0.6364,0.6124,7600,3801.5,0.416666667,21800,24300,0.35,0.349
149550,Certificate-degree,Private For-profit,11751,0.549689441,0.563573883,22317.35446,0.4627,0.4657,5500,3938.5,0.310559006,18500,19300,0.491803279,0.124
194161,Bachelor's-degree,Private Nonprofit,18415,0.421453287,0.376130199,33122.88841,0.5863,0.8216,27000,9500,0.461591696,33800,39300,0.440559441,0.158
443784,Bachelor's-degree,Private For-profit,29684,0.912441774,0.520025896,17006.54528,0.2655,0.3732,32639,6334,0.483325457,36500,49200,0.236221868,0.151
462239,Associate's-degree,Private For-profit,25265,0.595358956,0.546946217,21383.66035,0.7692,0.8974,20500,7467,0.454677302,26700,31800,0.401305057,0.19
156903,Associate's-degree,Private For-profit,24041,0.865671642,0.641509434,11582.0461,0.9009,0.8726,20856,6334,0.380597015,15900,21500,0.155555556,0.289
200590,Associate's-degree,Private For-profit,10588,0.726235741,0.686915888,13565.26373,0.8915,0.8302,14694,4750,0.376425856,17700,22700,0.248927039,0.163
123013,Certificate-degree,Public,6938,0.51896877,0.485348961,15682.1361,0.1786,0.0252,8745,5000,0.298469922,26200,34800,0.5,0.176
238458,Bachelor's-degree,Private Nonprofit,20783,0.118674699,0.329890252,79571.24223,0.2795,0.7162,26334.5,7500,0.535542169,34400,41300,0.785379569,0.041
